ORDER ,SUBSET I,SUBSET II,Adults,Eggs,Larvae,Pupae,Nymphs,Early Instars,REGION,EUROPE,ASIA,NORTH AMERICA,SOUTH AMERICA,AFRICA,OCEANIA,METHOD,OTHER METHOD,SURVEY AREA SIZE,SURVEY DURATION,
Hemiptera,,Psyllids,Y,N,Y,N,Y,Y,"Europe New Zealand, Australia, Pacific Islands.",Y,N,N,N,N,Y,"Beating sheet;Malaise trapping;Light trapping;Pan trapping;Pitfall trapping;Active visual surveys, such as transect walks and hand netting;", ,"Malaise trapping: (usually limited by the availability of traps)1 trap per 1000 sq m.
Light trapping: (usually limited by the availability of traps) 1 trap per 1000 sq m.
Pan trapping: 3-4 traps per 100 sq m.
Pitfall trapping: 3-4 traps per 100 sq m.
Beating sheet: usually sampling each different plant within an area.
Visual surveys: 1 plant every 3 per orchard.","Malaise trapping: leave the trap out for 1 week. Repeat x2 or x3 times a year depending on seasonality.
Light trapping: 3-5 hours per night. Ideally multiple nights per week. Repeat depending on seasonality.
Pan trapping: leave the traps out for 1 week. Repeat depending on seasonality.
Pitfall trapping: leave the traps out for 1 week. Repeat depending on seasonality.
Beating sheet: 2 or 3 branches per plant, about 20 minutes in total per plant.
Visual surveys: 2 or 3 branches per plant, about 10 minutes per plant.", 
Hemiptera,,Aquatic Species,Y,N,Y,N,N,N,Finland.,Y,N,N,N,N,N,Other;,Bottle traps and handnetting for aquatic insects.,"Pools/ponds/lakes vary a lot in size. The wetlands I survey are usually 60m2 - 15000m2 (1.5 hectares). 

Bottle traps usually are placed a few meters apart from each other, but it is very difficult to say the unit a bottle trap can survey, because the home range of aquatic insects is unknown. 

For handnetting, one can choose multiple 1m2 quadrats to survey.","For bottle traps, I usually leave the traps in water for 48 hours. For handnetting, I usually swipe the water and vegetation for 1 minute.", 
Coleoptera,,Aquatic Species,Y,N,Y,N,N,N,Finland.,Y,N,N,N,N,N,,,,,
Odonata,,,Y,N,Y,N,N,N,Finland.,Y,N,N,N,N,N,,,,,
Hymenoptera,,,Y,N,N,N,N,N,France,Y,N,N,N,N,N,Other;,Flight-interception and multi-funnel traps,Around 7 hectares,"Our traps were hung in trees for months, approxymately from April/May to September. So around 5 months. ", 
Coleoptera,Buprestidae,Agrilus,Y,N,N,N,N,N,France,Y,N,N,N,N,N,,,,,
Coleoptera,Scarabaeidae,,Y,N,N,N,N,N,Tanzania,N,N,N,N,Y,N,Pitfall trapping;,,"50 x 50 m plots with four traps, one in each corner. The area really depends on the project, 5 replicate 50 x 50 m plots should be the minimum",48-72 hours, 
Coleoptera,"Buprestidae; Cerambycidae
",,Y,N,N,N,N,N,Iran,Y,N,N,N,N,N,Other;Pan trapping;,"Window trap, colored pan trap ",  units of 1 Hectare,15 days, 
Lepidoptera,,Moths; Butterflies,Y,N,Y,N,Y,Y,Australia,N,N,N,N,N,Y,"Active visual surveys, such as transect walks and hand netting;Light trapping;", ,"1-5 square kilometres on average, though highly variable","Taxon & aim-dependent, but average 4-8 days (butterflies) or nights (light-trapping moths).", 
Lepidoptera,Papilionidae; Pieridae; Nymphalidae; Hesperiidae; ,Macromoths,Y,N,N,N,N,N,"South Korea, Europe",Y,Y,N,N,N,N,"Light trapping;Active visual surveys, such as transect walks and hand netting;", ,"15,000 square meters for line transect, 2800 square meters for light trapping","30 min for line transect, 5 hours for light trapping", 
Lepidoptera,Hesperiidae,Butterflies; Moths,Y,N,Y,N,N,N,Canada Europe,Y,N,Y,N,N,N,Other;,"Checklist surveys as in Royer and Malone (1998). Very similar to ""active visual surveys, such as transect walks and hand netting"" and typical Pollard-Yates, but instead that meandering is permitted (Royer, R.A., Austin, J.E. and Newton, W.E. 1998. Checklist and “Pollard Walk” Butterfly Survey Methods on Public Lands. The American Midland Naturalist, 140: 358–371. University of Notre Dame.)","Depends on size of supportive Lepidopteran habitat, and whether surveying for adults or larvae. For adults, typically an average of 4.75 km long (x 5 m observations on both sides = approximately 0.05 km2) to cover 1.75 km2. For surveys where larvae were the focus, and I watched for adults while walking between larval host plants, an average of 1.25 km long covering an area of around 0.25 km2.","Again, depends on size of supportive Lepidopteran habitat, and whether surveying for adults or larvae. Given the same parameters as above: for adults during one survey excursion, typically 1 hr, and for larvae, typically 0.75 hrs. Typically, I survey the same places between 1-3 times during their anticipated flight period.", 
Diptera,Muscidae; Athericidae,General Diptera,Y,N,N,N,N,N,"South Africa, Europ",Y,N,N,N,Y,N,"Malaise trapping;Active visual surveys, such as transect walks and hand netting;", ,"For Malaise traps: typically two Gressit & Gressit style Malaise traps are erected in study area, spaced at least 100m away from each other if possible, sometimes much further depending on accessibility. The sampling surface area, in this case the vertical flight interception area for each trap would be approx. 5.4 m2

For sweepnetting/handnetting one typically ""surveys"" around one self for about 2 m in each direction, walking about 50 meters at a time before emptying the net into aspirators, so an estimated 100 m2 per ""transect"". The number of transects would depend on the distance covered, and again accessibility. ","Handnetting: approx. 4 hours a day

Malaise traps are left up for the duration of being at the study area. 2-7 days. Specimens are not collected in ethanol but pinned and processed in the field. Diptera families typically preserved in ethanol, eg. Cecidomyiidae, Psychodidae are stored as such.", 
Odonata,,,Y,N,N,N,N,N,"Malaysia (dung beetles, Odonata, Lepidoptera), Indonesia (Odonanta, dung beetles), Singapore (dung beetles, Odonata, Lepidoptera), Philippines (butterflies)
UK (dung beetles, Lepidoptera), Finland (dung beetles)",Y,Y,N,N,N,Y,"Light trapping;Pitfall trapping;Active visual surveys, such as transect walks and hand netting;Other;",Butterfly fruit baited traps; in temperate regions hand search pats for dung beetles and also can use flotation method,"It depends on the question.
For dung beetles and butterfly fruit traps we set 10 traps 100-200m apart along transect lines, but other surveys have used fractal designs e.g. SAFE.
For Odonata we follow standard protocols for surveying water bodies in an area for a set period of time so not area based per se.
Butterflies usually use the Pollard walk method along a e.g. 500m/1km transect depending on the area size.
for moths I have most frequently used actinic traps and we have shown they can have an attraction radius of around 30m so I would make sure that traps were set at least 50m-100m apart but numbers depends on area size/question.","For dung beetles trap is set for 48h. Ideally would repeat this at least twice a year in tropics (wet/dry) but obviously more regular monthly/bimonthly sampling would be good for monitoring

Butterfly traps 24 hours
Actinic moth traps set at dusk, collect just after sunrise
Odonata - standardized search times at water bodies - depends on surveys - e.g. 15 minutes. Should be repeated over multiple days/times of year ideally.", 
Coleoptera,,Dung Beetles,Y,N,N,N,N,N,"Malaysia (dung beetles, Odonata, Lepidoptera), Indonesia (Odonanta, dung beetles), Singapore (dung beetles, Odonata, Lepidoptera), Philippines (butterflies)
UK (dung beetles, Lepidoptera), Finland (dung beetles)",Y,Y,N,N,N,Y,,,,,
Lepidoptera,,Butterflies; Moths,Y,N,N,N,N,N,"Malaysia (dung beetles, Odonata, Lepidoptera), Indonesia (Odonanta, dung beetles), Singapore (dung beetles, Odonata, Lepidoptera), Philippines (butterflies)
UK (dung beetles, Lepidoptera), Finland (dung beetles)",Y,Y,N,N,N,Y,,,,,
Hemiptera,Psyllidae,Planthoppers,Y,N,N,N,N,N,Germany,Y,N,N,N,N,N,Malaise trapping;Beating sheet;Other;,"D-Vac, Sweep-net","Malaise trap 200x200m samples sites
D-Vac, Sweep Net: 2 transects of 50 m each (width 1 m)","Malaise trap: 1 week
D-Vac, Sweep Net: ~10 minutes each", 
Ephemeroptera,,,Y,Y,Y,Y,Y,Y,"United Kingdom, NA",Y,N,Y,N,N,N,Malaise trapping;Light trapping;Other;,Aquatic kick sampling,"Aquatic kick sampling - 3 minute kick sample of major sub-habitats at a site followed by 1 minute of active searching. 
Light trapping - deployment of light traps on banks of waterbodies. Usually left for a couple of hours at dusk with specimens of mayflies/stoneflies/caddisflies collected
Malaise trapping - not generally used as too much collateral material. Typically left on site for a week or longer.","Aquatic kick sampling - 3 minutes plus 1 minute active sampling
Light trapping - 2 hours
Malaise trapping - 1 week to several months.", 
Plecoptera,,,Y,Y,Y,Y,Y,Y,"United Kingdom, NA",Y,N,Y,N,N,N,,,,,
Trichoptera,,,Y,Y,Y,Y,Y,Y,"United Kingdom, NA",Y,N,Y,N,N,N,,,,,
Hymenoptera,,,Y,N,Y,N,N,N,United Kingdom,Y,N,N,N,N,N,Malaise trapping;Light trapping;Pan trapping;Pitfall trapping;Other;,Winkler bags,"Winkler bags 1 square metre of sieved litter, very variable for the others.","This largely depends on funds and logistics but Malaise, pan and pitfall traps I usually keep out for one week.", 
Coleoptera,,,Y,N,N,N,N,N,United Kingdom,Y,N,N,N,N,N,,,,,
Diptera,,,Y,N,N,N,N,N,United Kingdom,Y,N,N,N,N,N,,,,,
Lepidoptera,,,Y,N,N,N,N,N,United Kingdom,Y,N,N,N,N,N,,,,,
Coleoptera,,,Y,N,Y,N,Y,Y,Latvia,Y,N,N,N,N,N,Light trapping;Pitfall trapping;Beating sheet;Malaise trapping;, ,1 hectare,30 minutes, 
Trichoptera,,,Y,N,Y,N,N,N,Slovenia,Y,N,N,N,N,N,Light trapping;Other;,"Aquatic sampling with hand net, riparian vegetation - hand net","Light trapping: ??, Hand net (riparian vegetation): 200 m2, aquatic samples: 250 m2 - 10000 m2 (depends on the river size)","Light trapping: 3 hours, Beating sheet: 30 minutes, aquatic samples: 1 hour", 
Lepidoptera,Macrolepidoptera,,Y,Y,Y,Y,N,N,"Belarus, Ukraine, Poland",Y,N,N,N,N,N,"Light trapping;Active visual surveys, such as transect walks and hand netting;Pitfall trapping;Other;",Pheromones (Osmoderma),hectares,"Light trapping -  about 30-50 days a year
other methods - occasionally, as needed", 
Coleoptera,,,Y,Y,Y,Y,N,N,"Belarus, Ukraine, Poland",Y,N,N,N,N,N,,,,,
Diptera,Culicidae,,Y,Y,N,N,N,N,"Kosovo, Albania",Y,N,N,N,N,N,Light trapping;Other;,,500 m,10 days, 
Hymenoptera,Formicidae,,Y,N,N,N,N,N,"Brazil and United States - but also have some experience collecting ants in Peru, Venezuela, Nicaragua, and Germany",N,N,Y,Y,N,N,"Malaise trapping;Pitfall trapping;Active visual surveys, such as transect walks and hand netting;Other;","Winkler extractor, Baiting, hand collection with forceps, and entomological aspirator","winkler - 1m2 sample in 100m, 200m or 1 km transects/site  - depends on the size area
pitfall traps - 200 ml cup in 100 m, 200m or a 1 km transects/site  - depends of the size area
Malaise, baiting, hand collection, and others - depends of the size area and the goal","pitfall traps - usually 24h, 48h or five days
winkler  - after litter extracted, samples are hanging for around 24h or 48h.
Malaise - 2 or 4 days or a week
hand collection with forceps and entomological aspirator - depends the size of the area and the goal. Sometimes a 1 hour/site. If looking for a specific specie sometimes the whole day.", 
Isoptera,,,Y,N,N,N,N,N,"Brazil and United States - but also have some experience collecting ants in Peru, Venezuela, Nicaragua, and Germany",N,N,Y,Y,N,N,,,,,
Orthoptera,,; Kosciuscola tristis; ,Y,N,N,N,N,N,Australia,N,N,N,N,N,Y,"Active visual surveys, such as transect walks and hand netting;", ,"I would typically survey small areas, roughly 10m2","Short times, 15-30 min surveys", 
Lepidoptera,,Agrotis infusa (Bogong Moths),Y,N,N,N,N,N,Australia,N,N,N,N,N,Y,,,,,
Lepidoptera,,,Y,N,N,N,N,N,Greece,Y,N,N,N,N,N,"Active visual surveys, such as transect walks and hand netting;", ,"Semi-quantantive surveys:
a. 300-m Pollard walks for butterflies, i.e. 300*5=1500 m2 
b. 10x10m quadrats for orthoptera, i.e. 100 m2 
Surveys for rare species:
c. (time constrained) active sampling in suitable habitats, equaling ca. 50-100 m2 ","a. Butterfly transects: ca. 30 min
b. Orthoptera quadrats: ca. 30 min
c. Active visual surveys for rare species: ca. 60 min", 
Orthoptera,,,Y,N,N,N,N,N,Greece,Y,N,N,N,N,N,,,,,
Hymenoptera,Formicidae,,Y,N,N,N,N,N,"Brazil, Europe",Y,N,N,Y,N,N,Pitfall trapping;Other;,Winkler extractor,"Plots of 200 to 250 meters in length, with 10 samples of each collection technique. Samples of 1m2 for the Winkler extractor, totaling 10m2 per plot.",48 hours, 
Hymenoptera,Formicidae,,Y,N,N,N,N,N,Italy,Y,N,N,N,N,N,Pitfall trapping;,,"1 hectare or more, depending on the scale of investigation",7 days, 
Hymenoptera,"Chalcidoidea

",Eurytomidae,Y,N,N,N,N,N,"Iran 

Europe: Germany",Y,N,N,N,N,N,Malaise trapping;Other;,Rearing materials from plant host,"Areas such as fields, pastures and virgin areas

2 hectares",90 days, 
Diptera,Culicidae; Ceratopogonidae,,Y,Y,Y,Y,N,N,Spain,Y,N,N,N,N,N,Light trapping;Pan trapping;Other;,Ovitrap for eggs,"It depends on the project. Around the Seville province, for example, 10.000 km²","From May to November, one sample every 45 days, with operating traps during 24h.", 
Coleoptera,Coccinellidae ,,Y,Y,Y,N,Y,Y,"Netherlands, Belgium, Czechia",Y,N,N,N,N,N,"Beating sheet;Active visual surveys, such as transect walks and hand netting;", ,One square kilometer,2-6 hours over a period of weeks.,  
Hymenoptera,,Bees,Y,N,N,N,N,N,Poland,Y,N,N,N,N,N,"Active visual surveys, such as transect walks and hand netting;", ,"about 1,5 ha","1-5 visits during a year, 1 hour at one visit", 
Orthoptera,,,Y,N,N,N,N,N,Sweden,Y,N,N,N,N,N,"Light trapping;Pan trapping;Active visual surveys, such as transect walks and hand netting;", ,"Light trapping: per trap about 2-300 m, Pan trapping maybe 50 m, Pollard walks, 1500 m x 2,5 m","8h, 6h, 1,5h",
Lepidoptera,,,Y,N,N,N,N,N,Sweden,Y,N,N,N,N,N,,,,,
Hymenoptera,,,Y,N,N,N,N,N,Sweden,Y,N,N,N,N,N,,,,,
Coleoptera,Carabidae; Scarabaeidae,,Y,N,Y,N,N,N,england,Y,N,N,N,N,N,"Pitfall trapping;Active visual surveys, such as transect walks and hand netting;Other;",baited pitfalls and hand searching dung,field scale (100m2 ish) and farm scale (300ha ish),"pitfall traps 7-14 days
hand search 20 mins", 
Mantodea,,,Y,Y,N,N,Y,Y,Mediterranean and neotropical areas,Y,Y,N,N,Y,N,"Light trapping;Active visual surveys, such as transect walks and hand netting;",,"Light trapping (adults): 500 sq meters

Active visual survey (adults, juveniles, eggs): 500 sq meters","Light trapping (adults): 2 hours

Active visual survey (adults, juveniles, eggs): 1 hours", 
,,,,,,,,,,,,,,,,,,,,
Diptera,,,Y,Y,Y,N,N,N,France,Y,N,N,N,N,N,Light Trapping ,,1 ha,2 days,
Hymenoptera,,,Y,Y,Y,N,N,N,France,Y,N,N,N,N,N,,,,,
,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Caenidae,,Y,Y,Y,N,N,N,Brasil,N,N,N,Y,N,N,Malaise;Armadilha de luz;Outros - Especificar;,Lençol branco iluminado.,"Malaise - cerca de 100 metros quadrados
Armadilha luminosa e lençol - cerca de 10 metros quadrados","Malaise - 15 dias
Lençol Branco - 02 horas
Armadilha de luz - 12 horas", 
Tricópteros,,,Y,N,Y,N,Y,Y,Brazil.,N,N,N,Y,N,N,"Armadilha de luz;Levantamentos visua l-activo, como transectos e redes entomológicas;Outros - Especificar;",Aquatic D-Net,Streams.,"EPT e Odonata larva- entre coleta do substrato e triagem são de no mínimo quatro horas
Odonata adulto - mínimo de duas horas de varredura visual em um trecho de 150 m no riacho.", 
Plecópteros,,,Y,N,Y,N,Y,Y,Brazil.,N,N,N,Y,N,N,,,,,
Odonata,,,Y,N,Y,N,Y,Y,Brazil.,N,N,N,Y,N,N,,,,,
Ephemeroptera,,,Y,N,Y,N,Y,Y,Brazil.,N,N,N,Y,N,N,,,,,
Dípteros,Syrphidae; Ropalomeridae; Sciomyzidae,,Y,N,Y,N,N,N,Brasil,N,N,N,Y,N,N,"Malaise;Armadilha de luz;Levantamentos visua l-activo, como transectos e redes entomológicas;", ,"Malaise = 50 hectares, mas no meu projeto de doutorado foi amostrado 33.000 km².
Armadilha de Luz = 10 hectares
Rede entomológica = 1 hectares","Malaise = mínimo 7 dias, máximo 3 meses
Armadilha de Luz = 2 dias por ponto de coleta
rede entomológica = 1 dia por ponto de coleta", 
Coleópteros,Coccinellidae,,Y,Y,Y,Y,Y,Y,Brasil,N,N,N,Y,N,N,"Levantamentos visua l-activo, como transectos e redes entomológicas;guarda-chuva entomológico;Pantraps;", ,"pantrap 18 ha
guarda-chuva e visual-ativo 8 a 10 ha","pantrap 18 ha - 1 ano
guarda-chuva e visual-ativo 8 a 10 ha - 2 anos ", 
Ephemeroptera,,Americabaetis alphus; Askola froehlichi; Massarella brieni; Miroculis mourei; Melanemerella brasiliana; Traverhyphes yuati ,Y,N,Y,Y,Y,Y,Brasil; Argentina; Colômbia ,N,N,N,Y,N,N,"Malaise;Armadilha de luz;Levantamentos visua l-activo, como transectos e redes entomológicas;", ,1000m²,10 dias,
Hymenoptera,Apoidea,,Y,Y,Y,Y,N,N,Brasil,N,N,N,Y,N,N,"Pantraps;Outros - Especificar;Levantamentos visua l-activo, como transectos e redes entomológicas;",Ninhos-armadilha (trap-nests) para abelhas solitárias,"trap-nests= 437500hectares
pantrap e Levantamentos visua l-activo, como transectos e redes entomológicas=2000metros","trap-nests= 15 meses
pantrap e Levantamentos visua l-activo, como transectos e redes entomológicas=12 meses", 
Arqueognatos,Formicidae,,Y,N,N,N,N,N,Brasil.,N,N,N,Y,N,N,Malaise;Pitfall;Outros - Especificar;,"Nossa principal técnica de coleta é o extrator de serapilheira do tipo mini-Winkler para a coleta de formigas epigeicas em áreas de florestas. Para maiores informações sobre esta técnica, por favor, consulte a referência abaixo:

Bestelmeyer, B.T.; Agosti, D.; Alonso, L.E.; Brandão, C.R.F.; Brown Jr.; W.L.; Delabie, J.H.C. & Silvestre, R. 2000. Field techniques for the study of ground-dwelling ants. In: Agosti, D.; Majer, J.D.; Tennant de Alonso, L. & Schultz, T. (Eds.), Measuring and monitoring biological diversity: standard methods for ground living ants Smithsonian Institution Press, Washington, p.122144. Disponível em: http://antbase.org/ants/publications/20330/20330.pdf ","A escala regional varia muito dependendo dos objetivos do levantamento. Usualmente trabalhamos com 60 armadilhas do tipo pitfall (copos de 275 ml) divididas em 3 transectos de 500 metros (20 pitfalls por transecto separadas por 25 metros). Por sua vez os transectos são afastados 1km entre si.

Para a técnica de Winkler normalmente coletamos amostras de serapilheira de 1m2 cobrindo a mesma área das armadilhas do tipo pitfall.",As armadilhas Malaise ficam expostas em média por 4 dias. Para as armadilhas do tipo pitfall o tempo de exposição é de 48hs. A coleta de formigas de serapilheira com o extrator de Winkler acontece em tempo real., 
Hymenoptera,,,Y,N,N,N,N,N,Brasil.,N,N,N,Y,N,N,,,,,
,,,,,,,,,,,,,,,,,,,,
Odonata,,,Y,Y,Y,N,Y,Y,France,Y,N,N,N,N,N,"Enquêtes visuelles actives, telles que les promenades en transect et les filets à main;Piégeage de la lumière;Feuille de battement;",,1 hectare,2 hours or 2 days, 
Hemiptera,Heteroptera,,Y,Y,Y,N,Y,Y,France,Y,N,N,N,N,N,,,,,
Lépidoptères,Noctuoidea,Owlet Moths,Y,N,Y,N,N,N,France,Y,N,N,N,N,N,Piégeage de la lumière;,,Toute la france,3heures,
Hyménoptères,,Termites,Y,N,N,N,N,N,North Africa,N,N,N,N,Y,N,Autre - Veuillez préciser;,"Pitfall traps, lavage du sol, tamisage de litière, recherche active sous les pierres, dans le bois, ...","Pifall traps : 1 piège par m2. 100 pièges par site = unité de 10000 m2
Lavage du sol : 10 échantillons par site = 400 m2 
Tamisage de litière : 20 échantillons par site = 400 m2 
Recherche active (sous les pierres, le bois, ...) : 1000 m2 par 

","Pifall traps : 1 Unité par jour (les pièges reste sur place pour une semaine)
Lavage du sol : 1 unité pat jour
Tamisage de litière : 20 échantillons par site = 400 m2  unité par jour 
Recherche active (sous les pierres, le bois, ...) : 2 unités par jours 
", 
Blattodea,,,Y,N,N,N,N,N,North Africa,N,N,N,N,Y,N,,,,,
Isoptères,,,Y,N,N,N,N,N,North Africa,N,N,N,N,Y,N,,,,,
,,,,,,,,,,,,,,,,,,,,
Odonata,,,Y,Y,Y,N,N,N,"Colombia, bosque seco tropical",N,N,N,Y,N,N,"Encuestas visuales activas, como transectos y redes manuales;Captura de luz;", ,"apoximandamente unos 10,000 metros cuadrados",6 horas,
Odonata,,Hetaerina. ,Y,N,N,N,N,N,Guatemala ,N,N,N,Y,N,N,"Encuestas visuales activas, como transectos y redes manuales;", ,Metros cuadrados,Minutos ,
